id,external_id,name,her_nr,status,source_url
374,802,LOTUS,802,completed,https://www.irishautoparts.ie
375,3047,LTI,3047,completed,https://www.irishautoparts.ie
376,1515,LUAZ,1515,completed,https://www.irishautoparts.ie
377,6519,LUCID,6519,completed,https://www.irishautoparts.ie
378,7731,LUXEED,7731,completed,https://www.irishautoparts.ie
379,3742,LUXGEN,3742,completed,https://www.irishautoparts.ie
380,4494,LUXXON,4494,completed,https://www.irishautoparts.ie
381,4612,LYNK & CO,4612,completed,https://www.irishautoparts.ie
382,7029,M-HERO,7029,completed,https://www.irishautoparts.ie
383,1280,MAHINDRA,1280,completed,https://www.irishautoparts.ie
384,4076,MAICO,4076,completed,https://www.irishautoparts.ie
385,4060,MALAGUTI,4060,completed,https://www.irishautoparts.ie
386,69,MAN,69,completed,https://www.irishautoparts.ie
387,5696,MAPLE,5696,completed,https://www.irishautoparts.ie
388,2905,MAPLE (SMA),2905,completed,https://www.irishautoparts.ie
389,1516,MARCOS,1516,completed,https://www.irishautoparts.ie
390,5170,MARTIN MOTORS,5170,completed,https://www.irishautoparts.ie
391,908,MARUTI,908,completed,https://www.irishautoparts.ie
392,3549,MARUTI SUZUKI,3549,completed,https://www.irishautoparts.ie
393,771,MASERATI,771,completed,https://www.irishautoparts.ie
394,4492,MASH,4492,completed,https://www.irishautoparts.ie
395,3300,MAXUS,3300,completed,https://www.irishautoparts.ie
396,2164,MAYBACH,2164,completed,https://www.irishautoparts.ie
22,72,MAZDA,72,completed,https://www.irishautoparts.ie
397,3532,MAZDA (CHANGAN),3532,completed,https://www.irishautoparts.ie
398,4061,MBK,4061,completed,https://www.irishautoparts.ie
399,1518,MCLAREN,1518,completed,https://www.irishautoparts.ie
400,845,MEGA,845,completed,https://www.irishautoparts.ie
401,4618,MEGELLI,4618,completed,https://www.irishautoparts.ie
23,74,MERCEDES-BENZ,74,completed,https://www.irishautoparts.ie
402,3645,MERCEDES-BENZ (BBDC),3645,completed,https://www.irishautoparts.ie
403,3522,MERCEDES-BENZ (FJDA),3522,completed,https://www.irishautoparts.ie
404,161,MERCURY,161,completed,https://www.irishautoparts.ie
405,1520,METROCAB,1520,completed,https://www.irishautoparts.ie
24,75,MG,75,completed,https://www.irishautoparts.ie
406,3133,MG (NANJING),3133,completed,https://www.irishautoparts.ie
407,3838,MG (SAIC),3838,completed,https://www.irishautoparts.ie
408,3961,MIA ELECTRIC,3961,completed,https://www.irishautoparts.ie
409,6545,MICRO,6545,completed,https://www.irishautoparts.ie
410,4219,MICROCAR,4219,completed,https://www.irishautoparts.ie
411,1521,MIDDLEBRIDGE,1521,completed,https://www.irishautoparts.ie
412,1522,MINELLI,1522,completed,https://www.irishautoparts.ie
25,1523,MINI,1523,completed,https://www.irishautoparts.ie
26,77,MITSUBISHI,77,completed,https://www.irishautoparts.ie
413,3650,MITSUBISHI (BJC),3650,completed,https://www.irishautoparts.ie
414,3837,MITSUBISHI (GAC),3837,completed,https://www.irishautoparts.ie
415,2904,MITSUOKA,2904,completed,https://www.irishautoparts.ie
416,6378,MODERN AUTO,6378,completed,https://www.irishautoparts.ie
417,4333,MONDIAL,4333,completed,https://www.irishautoparts.ie
418,803,MORGAN,803,completed,https://www.irishautoparts.ie
419,78,MORRIS,78,completed,https://www.irishautoparts.ie
420,813,MOSKVICH,813,completed,https://www.irishautoparts.ie
